Date,N1,N2,N3,N4,N5
2020-07-24,7,11,19,32,43
2020-07-17,13,21,25,34,35
2020-07-10,5,6,9,15,29
2020-07-03,12,34,36,47,48
2020-06-26,14,16,32,34,47
2020-06-19,2,22,33,38,47
2020-06-12,7,16,22,30,48
2020-06-05,9,16,17,29,39
2020-05-29,8,22,31,32,36
2020-05-22,12,15,32,40,45
2020-05-15,21,27,29,34,49
2020-05-08,9,11,15,36,43
2020-05-01,6,11,12,21,41
2020-04-24,6,13,15,34,35
2020-04-17,1,18,23,33,41
2020-04-10,2,7,8,43,50
2020-04-03,3,21,26,40,41
2020-03-27,13,19,23,34,41
2020-03-20,9,14,28,30,37
2020-03-13,1,17,29,39,42
2020-03-06,15,19,35,36,41
2020-02-28,12,22,24,29,38
2020-02-21,2,13,39,45,47
2020-02-14,2,6,30,32,49
2020-02-07,7,16,22,36,44
2020-01-31,1,7,12,23,39
2020-01-24,5,12,20,29,48
2020-01-17,1,23,32,45,49
2020-01-10,4,14,25,34,49
2020-01-03,6,27,30,35,41
2019-12-27,7,12,28,34,45
2019-12-20,12,20,21,22,35
2019-12-13,25,31,38,49,50
2019-12-06,8,14,23,30,45
2019-11-29,2,3,30,31,45
2019-11-22,3,12,24,37,38
2019-11-15,10,19,24,30,39
2019-11-08,14,20,23,39,49
2019-11-01,3,17,31,34,40
2019-10-25,2,30,34,35,45
2019-10-18,6,9,31,43,44
2019-10-11,8,12,13,39,44
2019-10-04,15,19,20,45,49
2019-09-27,21,24,26,34,47
2019-09-20,17,21,41,48,49
2019-09-13,3,21,22,33,47
2019-09-06,21,24,29,30,50
2019-08-30,10,18,32,35,46
2019-08-23,15,18,19,41,42
2019-08-16,7,20,35,42,44
2019-08-09,2,4,20,21,49
2019-08-02,6,11,38,41,44
2019-07-26,3,8,30,46,48
2019-07-19,31,32,45,47,49
2019-07-12,31,36,40,42,45
2019-07-05,1,15,34,48,50
2019-06-28,18,25,26,35,38
2019-06-21,20,27,37,41,45
2019-06-14,8,23,40,41,42
2019-06-07,7,8,20,35,38
2019-05-31,10,12,35,36,43
2019-05-24,8,26,38,47,50
2019-05-17,20,27,33,35,46
2019-05-10,5,7,15,19,29
2019-05-03,3,9,10,19,42
2019-04-26,1,6,11,17,38
2019-04-19,18,21,37,43,47
2019-04-12,14,16,21,30,37
2019-04-05,22,31,43,44,50
2019-03-29,4,9,15,24,42
2019-03-22,15,20,24,44,49
2019-03-15,1,2,11,19,47
2019-03-08,4,29,30,31,45
2019-03-01,7,16,18,19,24
2019-02-22,14,16,21,25,26
2019-02-15,1,24,30,31,47
2019-02-08,5,8,21,24,26
2019-02-01,6,29,38,45,47
2019-01-25,24,25,28,35,48
2019-01-18,2,9,23,36,47
2019-01-11,6,12,35,39,49
2019-01-04,3,10,25,32,43
2018-12-28,19,24,31,38,40
2018-12-21,3,16,20,34,49
2018-12-14,4,14,24,26,30
2018-12-07,4,16,21,31,42
2018-11-30,18,22,35,36,41
2018-11-23,17,22,28,31,46
2018-11-16,13,15,18,39,45
2018-11-09,8,32,34,46,49
2018-11-02,5,17,27,33,42
2018-10-26,18,19,33,38,44
2018-10-19,9,12,28,32,48
2018-10-12,6,26,31,42,50
2018-10-05,12,15,32,44,49
2018-09-28,3,8,13,18,40
2018-09-21,5,8,16,42,46
2018-09-14,24,33,35,46,49
2018-09-07,4,7,28,36,43
2018-08-31,3,6,9,18,24
2018-08-24,8,25,26,38,48
2018-08-17,2,12,32,43,44
2018-08-10,4,15,17,21,23
2018-08-03,4,8,12,25,31
2018-07-27,2,22,40,43,50
2018-07-20,13,33,40,42,43
2018-07-13,13,14,21,34,46
2018-07-06,2,7,24,38,45
2018-06-29,9,18,30,47,48
2018-06-22,16,24,33,35,43
2018-06-15,1,5,7,9,21
2018-06-08,5,13,22,36,39
2018-06-01,14,19,21,30,32
2018-05-25,15,31,35,40,46
2018-05-18,1,11,23,41,44
2018-05-11,3,14,17,37,39
2018-05-04,24,26,29,36,49
2018-04-27,9,21,31,32,33
2018-04-20,22,24,25,28,46
2018-04-13,3,10,21,25,34
2018-04-06,6,8,16,23,50
2018-03-30,5,15,17,29,32
2018-03-23,4,14,22,33,42
2018-03-16,4,27,37,48,49
2018-03-09,15,23,28,33,36
2018-03-02,16,18,20,27,46
2018-02-23,18,26,33,42,46
2018-02-16,4,8,19,25,44
2018-02-09,7,8,24,34,46
2018-02-02,15,24,29,33,41
2018-01-26,10,23,26,29,35
2018-01-19,3,9,17,45,47
2018-01-12,16,17,25,40,44
2018-01-05,2,7,38,40,45
2017-12-29,16,30,33,40,43
2017-12-22,16,26,32,40,47
2017-12-15,1,7,12,16,18
2017-12-08,9,15,20,24,34
2017-12-01,5,16,20,29,30
2017-11-24,11,16,18,22,43
2017-11-17,3,4,17,41,47
2017-11-10,1,14,17,24,50
2017-11-03,2,35,44,45,50
2017-10-27,2,20,23,29,50
2017-10-20,1,10,25,46,49
2017-10-13,9,40,43,44,46
2017-10-06,5,17,28,40,44
2017-09-29,2,12,15,29,44
2017-09-22,10,17,32,36,47
2017-09-15,15,22,29,33,47
2017-09-08,11,38,40,42,48
2017-09-01,3,4,9,19,28
2017-08-25,11,20,28,41,45
2017-08-18,1,4,20,32,34
2017-08-11,13,14,21,23,40
2017-08-04,18,39,44,46,47
2017-07-28,14,18,26,40,45
2017-07-21,27,35,36,38,48
2017-07-14,3,9,25,31,49
2017-07-07,15,16,17,23,30
2017-06-30,1,3,11,18,31
2017-06-23,6,14,19,27,35
2017-06-16,1,24,25,31,38
2017-06-09,13,17,20,24,47
2017-06-02,2,4,17,20,46
2017-05-26,3,11,13,15,23
2017-05-19,22,33,41,46,50
2017-05-12,7,14,31,35,46
2017-05-05,8,11,23,41,42
2017-04-28,3,38,39,41,45
2017-04-21,27,31,44,46,49
2017-04-14,6,22,33,46,49
2017-04-07,10,27,43,45,46
2017-03-31,8,14,34,40,44
2017-03-24,25,26,30,36,44
2017-03-17,3,16,25,38,45
2017-03-10,13,18,20,35,46
2017-03-03,3,7,16,18,25
2017-02-24,1,7,13,19,20
2017-02-17,7,18,19,40,49
2017-02-10,13,23,31,42,44
2017-02-03,4,5,17,39,47
2017-01-27,12,15,19,29,48
2017-01-20,5,23,25,35,40
2017-01-13,2,21,26,44,45
2017-01-06,7,14,23,27,35
2016-12-30,27,30,45,47,50
2016-12-23,13,27,30,42,46
2016-12-16,2,3,24,25,34
2016-12-09,12,17,29,44,50
2016-12-02,1,20,39,48,50
2016-11-25,19,28,34,45,49
2016-11-18,7,10,16,32,40
2016-11-11,1,16,18,42,47
2016-11-04,14,15,16,22,50
2016-10-28,1,4,6,12,13
2016-10-21,14,16,28,34,35
2016-10-14,7,10,25,39,42
2016-10-07,1,10,20,43,44
2016-09-30,4,28,29,39,44
2016-09-23,1,7,23,25,45
2016-09-16,15,28,30,37,43
2016-09-09,11,27,34,35,39
2016-09-02,15,28,30,42,50
2016-08-26,4,8,9,33,43
2016-08-19,22,33,42,43,46
2016-08-12,6,15,18,21,38
2016-08-05,5,11,12,30,40
2016-07-29,4,8,22,36,44
2016-07-22,6,14,20,26,46
2016-07-15,12,22,36,38,50
2016-07-08,4,19,21,31,42
2016-07-01,29,37,38,47,50
2016-06-24,19,21,24,41,48
2016-06-17,16,18,19,23,44
2016-06-10,11,12,26,28,37
2016-06-03,13,20,32,34,47
2016-05-27,4,10,26,33,48
2016-05-20,6,19,23,33,34
2016-05-13,6,7,36,39,40
2016-05-06,12,24,38,45,46
2016-04-29,10,14,20,24,40
2016-04-22,5,28,31,33,49
2016-04-15,1,5,17,39,46
2016-04-08,1,2,16,31,50
2016-04-01,6,12,21,40,49
2016-03-25,9,10,19,20,35
2016-03-18,10,20,35,47,50
2016-03-11,10,16,31,37,40
2016-03-04,2,5,10,13,28
2016-02-26,9,11,19,42,45
2016-02-19,10,12,28,29,49
2016-02-12,7,20,21,33,41
2016-02-05,10,25,35,37,43
2016-01-29,3,20,32,40,42
2016-01-22,3,19,26,29,36
2016-01-15,4,23,25,37,39
2016-01-08,1,2,5,24,47
2016-01-01,11,14,35,44,45
2015-12-25,8,9,33,34,36
2015-12-18,11,19,27,32,42
2015-12-11,34,36,37,39,49
2015-12-04,14,16,26,34,38
2015-11-27,2,7,13,26,49
2015-11-20,1,18,20,31,36
2015-11-13,19,23,26,27,49
2015-11-06,2,4,8,22,24
2015-10-30,5,15,16,36,37
2015-10-23,16,18,34,36,49
2015-10-16,11,19,38,42,46
2015-10-09,13,14,23,26,31
2015-10-02,7,9,28,39,47
2015-09-25,3,5,13,16,30
2015-09-18,3,7,13,41,48
2015-09-11,7,22,27,30,31
2015-09-04,12,23,37,41,46
2015-08-28,5,8,33,34,46
2015-08-21,13,20,39,40,42
2015-08-14,1,7,27,28,41
2015-08-07,1,9,15,22,49
2015-07-31,11,19,24,46,49
2015-07-24,6,12,15,20,30
2015-07-17,6,21,30,37,44
2015-07-10,12,35,36,39,47
2015-07-03,1,31,40,41,45
2015-06-26,14,27,28,35,47
2015-06-19,12,14,20,21,39
2015-06-12,17,23,27,30,39
2015-06-05,19,38,40,41,50
2015-05-29,1,6,16,28,38
2015-05-22,8,23,24,39,50
2015-05-15,12,14,18,38,46
2015-05-08,19,31,32,40,46
2015-05-01,8,24,25,30,50
2015-04-24,4,17,27,33,46
2015-04-17,5,6,13,20,33
2015-04-10,1,18,26,40,47
2015-04-03,5,34,37,43,48
2015-03-27,3,26,31,33,50
2015-03-20,9,11,13,35,38
2015-03-13,1,10,25,39,44
2015-03-06,9,16,17,20,32
2015-02-27,9,28,30,43,49
2015-02-20,1,16,18,29,44
2015-02-13,3,7,14,46,48
2015-02-06,3,19,22,37,39
2015-01-30,3,4,8,11,41
2015-01-23,2,13,14,30,32
2015-01-16,1,4,14,32,48
2015-01-09,13,19,20,27,41
2015-01-02,16,29,38,42,48
2014-12-26,2,21,30,39,43
2014-12-19,10,11,25,32,49
2014-12-12,1,8,15,19,37
2014-12-05,11,25,32,42,47
2014-11-28,6,16,18,29,35
2014-11-21,4,18,35,41,43
2014-11-14,22,25,41,45,49
2014-11-07,5,13,25,33,35
2014-10-31,3,7,27,43,46
2014-10-24,3,15,22,26,37
2014-10-17,14,24,27,35,39
2014-10-10,11,17,20,22,29
2014-10-03,8,15,34,44,49
2014-09-26,8,26,32,44,50
2014-09-19,13,18,20,38,39
2014-09-12,2,9,17,25,29
2014-09-05,26,31,33,39,40
2014-08-29,1,8,9,12,37
2014-08-22,19,20,40,42,47
2014-08-15,17,38,41,43,47
2014-08-08,15,19,21,34,40
2014-08-01,5,18,33,38,47
2014-07-25,3,10,36,43,47
2014-07-18,6,11,15,18,45
2014-07-11,3,10,16,35,45
2014-07-04,3,10,11,13,42
2014-06-27,11,33,35,42,44
2014-06-20,6,10,23,33,41
2014-06-13,1,8,15,18,39
2014-06-06,6,9,19,37,38
2014-05-30,7,17,25,26,35
2014-05-23,6,21,33,37,47
2014-05-16,9,28,36,42,43
2014-05-09,1,11,14,22,43
2014-05-02,9,31,32,33,34
2014-04-25,4,7,10,39,48
2014-04-18,12,32,40,44,49
2014-04-11,1,7,14,22,44
2014-04-04,10,16,28,30,33
2014-03-28,10,32,35,38,45
2014-03-21,8,18,35,38,42
2014-03-14,6,7,9,13,30
2014-03-07,7,14,15,20,39
2014-02-28,2,17,21,22,45
2014-02-21,2,4,21,30,41
2014-02-14,19,21,22,28,45
2014-02-07,16,18,20,36,49
2014-01-31,12,17,29,39,40
2014-01-24,4,28,30,36,46
2014-01-17,4,7,17,25,29
2014-01-10,8,18,22,33,40
2014-01-03,1,16,34,36,37
2013-12-27,2,15,33,40,43
2013-12-20,9,12,22,37,40
2013-12-13,9,19,24,28,49
2013-12-06,1,8,18,25,47
2013-11-29,17,25,32,35,45
2013-11-22,1,38,39,42,47
2013-11-15,3,19,32,43,48
2013-11-08,18,25,28,34,42
2013-11-01,7,10,13,26,27
2013-10-25,9,25,39,41,46
2013-10-18,7,22,24,25,41
2013-10-11,2,11,23,29,34
2013-10-04,1,7,16,21,48
2013-09-27,6,10,21,34,36
2013-09-20,2,6,15,18,24
2013-09-13,3,10,18,31,43
2013-09-06,3,7,20,32,44
2013-08-30,6,9,10,17,43
2013-08-23,4,10,25,30,47
2013-08-16,5,32,33,38,49
2013-08-09,7,26,32,34,49
2013-08-02,14,23,29,33,37
2013-07-26,4,13,19,25,43
2013-07-19,7,18,19,33,37
2013-07-12,7,27,33,47,48
2013-07-05,15,16,17,19,50
2013-06-28,6,8,23,33,49
2013-06-21,5,14,21,23,50
2013-06-14,1,25,46,47,48
2013-06-07,6,9,11,29,35
2013-05-31,5,9,12,23,40
2013-05-24,2,4,9,20,41
2013-05-17,4,6,10,13,32
2013-05-10,6,9,31,33,35
2013-05-03,14,16,28,44,48
2013-04-26,11,14,19,23,49
2013-04-19,17,18,22,24,25
2013-04-12,8,19,22,32,40
2013-04-05,22,31,37,38,41
2013-03-29,1,22,27,37,50
2013-03-22,5,12,21,43,48
2013-03-15,4,30,32,41,50
2013-03-08,10,12,14,30,43
2013-03-01,19,28,29,34,44
2013-02-22,3,13,41,46,49
2013-02-15,4,9,26,32,40
2013-02-08,12,14,17,27,43
2013-02-01,2,4,14,26,29
2013-01-25,4,13,28,37,38
2013-01-18,9,13,21,28,45
2013-01-11,6,31,37,41,49
2013-01-04,6,20,29,40,45
2012-12-28,5,8,22,32,39
2012-12-21,11,20,24,25,35
2012-12-14,17,28,31,35,39
2012-12-07,13,20,22,27,42
2012-11-30,2,13,21,24,37
2012-11-23,1,21,32,36,50
2012-11-16,1,4,7,21,26
2012-11-09,25,29,38,41,44
2012-11-02,3,5,7,12,31
2012-10-26,7,17,18,19,22
2012-10-19,6,14,18,19,48
2012-10-12,6,11,17,43,49
2012-10-05,26,28,40,49,50
2012-09-28,5,14,16,34,39
2012-09-21,18,29,41,44,49
2012-09-14,10,14,15,24,47
2012-09-07,15,23,25,46,49
2012-08-31,8,22,28,40,42
2012-08-24,9,20,21,33,49
2012-08-17,3,16,30,34,35
2012-08-10,6,11,40,46,48
2012-08-03,12,15,18,24,25
2012-07-27,9,22,23,34,35
2012-07-20,6,9,13,14,25
2012-07-13,8,12,27,31,37
2012-07-06,10,22,24,33,38
2012-06-29,5,8,19,33,36
2012-06-22,13,14,16,47,49
2012-06-15,6,10,17,18,42
2012-06-08,10,15,16,36,44
2012-06-01,11,28,34,37,38
2012-05-25,4,11,26,32,41
2012-05-18,12,18,43,44,46
2012-05-11,15,21,38,39,47
2012-05-04,29,30,35,41,45
2012-04-27,10,13,19,40,45
2012-04-20,10,16,30,41,45
2012-04-13,5,11,12,27,32
2012-04-06,7,8,34,36,38
2012-03-30,5,7,12,19,26
2012-03-23,5,8,21,37,46
